bridge_id,status,lat,lon,elev_m,region,bearing_deg,face_normal_deg,T_peak_max,T_surf_peak,T_top_peak,T_bot_peak,T_top_mean,T_bot_mean,max_vertical_gradient,mean_vertical_gradient,diurnal_range_top
U1511,ok,23.6225708465,109.8480037965,115.0,R3,90.7,180.7,41.36447115684702,41.36447115684702,35.20612309278634,32.898253712494764,30.525097926394903,30.228066224687378,2.921806777359656,0.2970317017075151,6.136242924894599
U1512,ok,23.738752700000003,109.40445901666666,78.0,R3,138.7,228.7,46.74065586981246,46.74065586981246,35.29157131105204,34.08786215477981,30.56941140159637,30.44661882112036,1.553877056308984,0.12279258047600562,6.34305725209455
U1513,ok,24.14530585,109.288498225,119.0,R3,37.4,127.4,46.388221785864275,46.388221785864275,34.84209923035396,33.847001893303236,29.847559319627212,29.694553581107158,1.6562491233971635,0.15300573852005345,6.612477677451807
U1514,ok,23.7026745,109.540658425,40.0,R3,87.8,177.8,46.00683963633226,46.00683963633226,36.86964579591384,33.68792015973728,30.694928210092655,30.362769474469342,4.032566862208789,0.33215873562331555,7.934994178597503
U1516,ok,24.117158485,109.269176065,134.0,R3,17.8,107.8,46.12991813483744,46.12991813483744,34.490245314903426,33.88667491779317,29.80090522467615,29.68264265629578,1.3159287265793793,0.11826256838037329,6.370507521227317
U1517,ok,24.02987316,109.26882298,109.0,R3,172.4,262.4,45.92152509671557,45.92152509671557,34.077676071124436,33.5187551426791,29.39834310127827,29.290886123643123,1.3078289695118848,0.10745697763514396,6.345080458774792
U1518,ok,23.97760901666667,109.26622106666667,95.0,R3,97.4,187.4,46.26863840230756,46.26863840230756,37.59132193399126,32.71982122412434,29.866449723053755,29.314004926040653,5.296270217516977,0.5524447970131041,9.720811756936875
U1520,ok,23.8010247,109.24638905,91.0,R3,28.2,118.2,47.48545255993878,47.48545255993878,35.43921049686431,34.59908696672115,30.696063177133905,30.579112814051424,1.701154554473849,0.11695036308248093,6.479137717883955
U1521,ok,23.70443046,109.24580418,49.0,R3,18.2,108.2,47.27104276496813,47.27104276496813,35.23391015320176,34.68086572509634,30.591896459716132,30.511564487664867,1.507397277150357,0.08033197205126304,6.348311919442661
U1522,ok,23.703751725000004,109.245285175,59.0,R3,18.2,108.2,45.851199358482305,45.851199358482305,33.81406157634376,33.26102492626559,29.172052469361986,29.091721565605305,1.5073927872661983,0.08033090375667995,6.34830688373107
